CODE_SHARE,CODE_ORG,ORGANISATION,DESCRIPTION,UOM,QUANTITY,STATUS
tent,CON-SR-010,Concern,4x4 Family Tent (IFRC/ICRC Spec),Each,120,Stock
tent,CON-SR-010,Concern,4x4 Family Tent (IFRC/ICRC Spec),Each,200,On Order
tent,CON-SR-009,Concern,4x4 Family Tents (UNHCR Spec),Each,32,Stock
bucket,CON-WH-084,Concern,"Bucket, 20L, with lid",Each,2000,Stock
tent,CON-SR-003,Concern,"Family Tent, 4 x 4m",Each,77,Stock
watercan,CON-WH-083,Concern,"Jerry Can, Collapsible, 20L",Each,400,Stock
bednet,CON-GN-037 ,Concern,Mosquito Net,Each,167,Stock
bednet,CON-GN-037 ,Concern,Mosquito Net,Each,10000,ETA 07-DEC-2011
sheeting,CON-SR-001,Concern,"Plastic Sheeting, 6 x 60m",Each,20,Stock
sheeting,CON-SR-001,Concern,"Plastic Sheeting, 6 x 60m",Each,100,On Order
sheeting,CON-SR-007,Concern,"Plastic Tarpaulin, 4 x 6m",Each,300,Stock
