CODE_SHARE,CODE_ORG,ORGANISATION,DESCRIPTION,UOM,QUANTITY,STATUS
bednet,HSHEMNET2S,IRC,"MOSQUITO NET, LLIN, circular, dble bed, d:1050cm, H:220cm",Each,0,Stock
bednet,HSHEMNETRL,IRC,"MOSQUITO NET, LLIN, rectangular large 160 x 180 x 150cm",Each,17,Stock
bednet,HSHEMNETRL,IRC,"MOSQUITO NET, LLIN, rectangular large 160 x 180 x 150cm",Each,200,On Order
bednet,HSHEMNETRM,IRC,"MOSQUITO NET, LLIN, rectangular medium 130 x 180 x 150cm ",Each,45,Stock
bednet,HSHEMNETRXL,IRC,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,500,Stock
bednet,HSHEMNETRXL,IRC,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,500,On Order
bednet,HSHEMNETRXL,IRC,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,8000,ETA 12-NOV-2011
sheeting,HSHETARPW460,IRC,"PLASTIC SHEETING, woven, 4x60m, white/white, roll",Each,620,Stock
tent,HSHETENTF16C,IRC,"TENT, FAMILY, 16 m2 double fly with ground sheet",Each,14,Stock
tent,HSHETENTF16C,IRC,"TENT, FAMILY, 16 m2 double fly with ground sheet",Each,75,ETA 14-FEB-2011
