TYPE,COUNTRY,CODE_SHARE,CODE_ORG,ORGANISATION,DESCRIPTION,UOM,QUANTITY,STATUS,DATE
100,KENYA,bednet,HSHEMNET2S,IRC,"MOSQUITO NET, LLIN, circular, dble bed, d:1050cm, H:220cm",Each,0,Stock,
100,KENYA,bednet,HSHEMNETRL,IRC,"MOSQUITO NET, LLIN, rectangular large 160 x 180 x 150cm",Each,17,Stock,
100,KENYA,bednet,HSHEMNETRL,IRC,"MOSQUITO NET, LLIN, rectangular large 160 x 180 x 150cm",Each,200,On Order,
100,KENYA,bednet,HSHEMNETRM,IRC,"MOSQUITO NET, LLIN, rectangular medium 130 x 180 x 150cm ",Each,45,Stock,
100,KENYA,bednet,HSHEMNETRXL,IRC,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,500,Stock,
100,KENYA,bednet,HSHEMNETRXL,IRC,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,500,On Order,
100,KENYA,bednet,HSHEMNETRXL,IRC,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,8000,ETA,12/11/2011
100,KENYA,sheeting,HSHETARPW460,IRC,"PLASTIC SHEETING, woven, 4x60m, white/white, roll",Each,620,Stock,
100,KENYA,tent,HSHETENTF16C,IRC,"TENT, FAMILY, 16 m2 double fly with ground sheet",Each,14,Stock,
100,KENYA,tent,HSHETENTF16C,IRC,"TENT, FAMILY, 16 m2 double fly with ground sheet",Each,75,ETA,14/02/2011
