TYPE,COUNTRY,CODE_SHARE,CODE_ORG,ORGANISATION,DESCRIPTION,UOM,QUANTITY,STATUS,DATE
100,Somalia,Insect Net,HSHEMNET2S,ICRS,"MOSQUITO NET, LLIN, circular, dble bed, d:1050cm, H:220cm",Each,0,Stock,
100,Somalia,Insect Net,HSHEMNETRL,ICRS,"MOSQUITO NET, LLIN, rectangular large 160 x 180 x 150cm",Each,17,Stock,
100,Somalia,Insect Net,HSHEMNETRL,ICRS,"MOSQUITO NET, LLIN, rectangular large 160 x 180 x 150cm",Each,200,On Order,
100,Somalia,Insect Net,HSHEMNETRM,ICRS,"MOSQUITO NET, LLIN, rectangular medium 130 x 180 x 150cm ",Each,45,Stock,
100,Somalia,Insect Net,HSHEMNETRXL,ICRS,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,500,Stock,
100,Somalia,Insect Net,HSHEMNETRXL,ICRS,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,500,On Order,
100,Somalia,Insect Net,HSHEMNETRXL,ICRS,"MOSQUITO NET, LLIN, rectangular X-large 190 x 180 x 150cm",Each,8000,ETA,12/11/2011
100,Somalia,sheeting,HSHETARPW460,ICRS,"PLASTIC SHEETING, woven, 4x60m, white/white, roll",Each,28,Stock,
100,Somalia,Shelter,HSHETENTF16C,ICRS,"TENT, FAMILY, 16 m2 double fly with ground sheet",Each,-5,Stock,
100,Somalia,Shelter,HSHETENTF16C,ICRS,"TENT, FAMILY, 16 m2 double fly with ground sheet",Each,4,Stock,14/02/2011
